"indicatorId","source","date","wardId","value"
51,"Census","2011-03","20729",144
51,"Census","2011-03","20730",152
51,"Census","2011-03","20731",94
51,"Census","2011-03","20732",107
51,"Census","2011-03","20733",56
51,"Census","2011-03","20734",99
52,"Census","2011-03","20718",516
52,"Census","2011-03","20719",899
52,"Census","2011-03","20720",700
52,"Census","2011-03","20721",3284
52,"Census","2011-03","20722",649
52,"Census","2011-03","20723",224
52,"Census","2011-03","20724",3860
52,"Census","2011-03","20725",655
52,"Census","2011-03","20726",397
52,"Census","2011-03","20727",135
52,"Census","2011-03","20728",240
52,"Census","2011-03","20729",453
52,"Census","2011-03","20730",1354
52,"Census","2011-03","20731",1773
52,"Census","2011-03","20732",877
52,"Census","2011-03","20733",2503
52,"Census","2011-03","20734",1786
53,"Census","2011-03","20718",262
53,"Census","2011-03","20719",711
53,"Census","2011-03","20720",522
53,"Census","2011-03","20721",1679
53,"Census","2011-03","20722",544
53,"Census","2011-03","20723",284
53,"Census","2011-03","20724",1846
53,"Census","2011-03","20725",566
53,"Census","2011-03","20726",1033
53,"Census","2011-03","20727",450
53,"Census","2011-03","20728",1470
53,"Census","2011-03","20729",1876
53,"Census","2011-03","20730",1763
53,"Census","2011-03","20731",578
53,"Census","2011-03","20732",1031
53,"Census","2011-03","20733",1269
53,"Census","2011-03","20734",1767
54,"Census","2011-03","20718",990
54,"Census","2011-03","20719",602
54,"Census","2011-03","20720",1067
54,"Census","2011-03","20721",2536
54,"Census","2011-03","20722",3549
54,"Census","2011-03","20723",1544
54,"Census","2011-03","20724",5021
54,"Census","2011-03","20725",1030
54,"Census","2011-03","20726",3220
54,"Census","2011-03","20727",4981
54,"Census","2011-03","20728",5286
54,"Census","2011-03","20729",6670
54,"Census","2011-03","20730",3670
54,"Census","2011-03","20731",2137
54,"Census","2011-03","20732",4627
54,"Census","2011-03","20733",1542
54,"Census","2011-03","20734",1406
55,"Census","2011-03","20718",132
55,"Census","2011-03","20719",106
55,"Census","2011-03","20720",76
55,"Census","2011-03","20721",94
55,"Census","2011-03","20722",239
55,"Census","2011-03","20723",117
55,"Census","2011-03","20724",177
55,"Census","2011-03","20725",78
55,"Census","2011-03","20726",112
55,"Census","2011-03","20727",223
55,"Census","2011-03","20728",187
55,"Census","2011-03","20729",176
55,"Census","2011-03","20730",92
55,"Census","2011-03","20731",122
55,"Census","2011-03","20732",209
55,"Census","2011-03","20733",164
55,"Census","2011-03","20734",94
70,"Census","2011-03","20718",10504
70,"Census","2011-03","20719",9348
70,"Census","2011-03","20720",9986
70,"Census","2011-03","20721",15313
70,"Census","2011-03","20722",15336
70,"Census","2011-03","20723",10480
70,"Census","2011-03","20724",19036
70,"Census","2011-03","20725",10163
70,"Census","2011-03","20726",12093
70,"Census","2011-03","20727",14724
70,"Census","2011-03","20728",11833
70,"Census","2011-03","20729",17661
70,"Census","2011-03","20730",13249
70,"Census","2011-03","20731",12991
70,"Census","2011-03","20732",14087
70,"Census","2011-03","20733",14767
70,"Census","2011-03","20734",11480
71,"Census","2011-03","20718",20
71,"Census","2011-03","20719",37
71,"Census","2011-03","20720",61
71,"Census","2011-03","20721",102
71,"Census","2011-03","20722",55
71,"Census","2011-03","20723",31
71,"Census","2011-03","20724",175
71,"Census","2011-03","20725",47
71,"Census","2011-03","20726",109
71,"Census","2011-03","20727",91
71,"Census","2011-03","20728",235
71,"Census","2011-03","20729",183
71,"Census","2011-03","20730",132
71,"Census","2011-03","20731",86
71,"Census","2011-03","20732",122
71,"Census","2011-03","20733",101
71,"Census","2011-03","20734",89
72,"Census","2011-03","20718",156
72,"Census","2011-03","20719",179
72,"Census","2011-03","20720",395
72,"Census","2011-03","20721",691
72,"Census","2011-03","20722",682
72,"Census","2011-03","20723",223
72,"Census","2011-03","20724",1987
72,"Census","2011-03","20725",210
72,"Census","2011-03","20726",1231
72,"Census","2011-03","20727",589
72,"Census","2011-03","20728",1223
72,"Census","2011-03","20729",2550
72,"Census","2011-03","20730",1330
72,"Census","2011-03","20731",696
72,"Census","2011-03","20732",834
72,"Census","2011-03","20733",435
72,"Census","2011-03","20734",644
73,"Census","2011-03","20718",2761
73,"Census","2011-03","20719",2837
73,"Census","2011-03","20720",4197
73,"Census","2011-03","20721",8473
73,"Census","2011-03","20722",7025
73,"Census","2011-03","20723",4328
73,"Census","2011-03","20724",11974
73,"Census","2011-03","20725",2960
73,"Census","2011-03","20726",6528
73,"Census","2011-03","20727",5973
73,"Census","2011-03","20728",6348
73,"Census","2011-03","20729",11676
73,"Census","2011-03","20730",8823
73,"Census","2011-03","20731",7294
73,"Census","2011-03","20732",7218
73,"Census","2011-03","20733",6542
73,"Census","2011-03","20734",5681
74,"Census","2011-03","20718",4581
74,"Census","2011-03","20719",3864
74,"Census","2011-03","20720",3837
74,"Census","2011-03","20721",4647
74,"Census","2011-03","20722",4975
74,"Census","2011-03","20723",3687
74,"Census","2011-03","20724",4424
74,"Census","2011-03","20725",3917
74,"Census","2011-03","20726",2874
74,"Census","2011-03","20727",5153
74,"Census","2011-03","20728",2945
74,"Census","2011-03","20729",2719
74,"Census","2011-03","20730",2342
74,"Census","2011-03","20731",3818
74,"Census","2011-03","20732",3530
74,"Census","2011-03","20733",5935
74,"Census","2011-03","20734",3596
75,"Census","2011-03","20718",2986
75,"Census","2011-03","20719",2431
75,"Census","2011-03","20720",1496
75,"Census","2011-03","20721",1400
75,"Census","2011-03","20722",2599
75,"Census","2011-03","20723",2211
75,"Census","2011-03","20724",476
75,"Census","2011-03","20725",3029
75,"Census","2011-03","20726",1351
75,"Census","2011-03","20727",2918
75,"Census","2011-03","20728",1082
75,"Census","2011-03","20729",533
75,"Census","2011-03","20730",622
75,"Census","2011-03","20731",1097
75,"Census","2011-03","20732",2383
75,"Census","2011-03","20733",1754
75,"Census","2011-03","20734",1470
76,"Census","2011-03","20718",5.6
76,"Census","2011-03","20719",5.5
76,"Census","2011-03","20720",4.9
76,"Census","2011-03","20721",4.5
76,"Census","2011-03","20722",4.8
76,"Census","2011-03","20723",5.2
76,"Census","2011-03","20724",3.9
76,"Census","2011-03","20725",5.6
76,"Census","2011-03","20726",4.3
76,"Census","2011-03","20727",5
76,"Census","2011-03","20728",4.2
76,"Census","2011-03","20729",3.7
76,"Census","2011-03","20730",3.9
76,"Census","2011-03","20731",4.4
76,"Census","2011-03","20732",4.7
76,"Census","2011-03","20733",4.8
76,"Census","2011-03","20734",4.6
90,"Census","2011-03","20718",10504
90,"Census","2011-03","20719",9348
90,"Census","2011-03","20720",9986
90,"Census","2011-03","20721",15313
90,"Census","2011-03","20722",15336
90,"Census","2011-03","20723",10480
90,"Census","2011-03","20724",19036
90,"Census","2011-03","20725",10163
90,"Census","2011-03","20726",12093
90,"Census","2011-03","20727",14724
90,"Census","2011-03","20728",11833
90,"Census","2011-03","20729",17661
90,"Census","2011-03","20730",13249
90,"Census","2011-03","20731",12991
90,"Census","2011-03","20732",14087
90,"Census","2011-03","20733",14767
90,"Census","2011-03","20734",11480
91,"Census","2011-03","20718",2851
91,"Census","2011-03","20719",2615
91,"Census","2011-03","20720",3355
91,"Census","2011-03","20721",5774
91,"Census","2011-03","20722",6354
91,"Census","2011-03","20723",3634
91,"Census","2011-03","20724",8638
91,"Census","2011-03","20725",2933
91,"Census","2011-03","20726",5288
91,"Census","2011-03","20727",5154
91,"Census","2011-03","20728",5577
91,"Census","2011-03","20729",8556
91,"Census","2011-03","20730",6061
91,"Census","2011-03","20731",5383
91,"Census","2011-03","20732",5575
91,"Census","2011-03","20733",5153
91,"Census","2011-03","20734",4275
92,"Census","2011-03","20718",3841
92,"Census","2011-03","20719",3322
92,"Census","2011-03","20720",3439
92,"Census","2011-03","20721",4803
92,"Census","2011-03","20722",5328
92,"Census","2011-03","20723",3703
92,"Census","2011-03","20724",6069
92,"Census","2011-03","20725",3524
92,"Census","2011-03","20726",4217
92,"Census","2011-03","20727",4599
92,"Census","2011-03","20728",3953
92,"Census","2011-03","20729",6026
92,"Census","2011-03","20730",4502
92,"Census","2011-03","20731",4510
92,"Census","2011-03","20732",4445
92,"Census","2011-03","20733",4791
92,"Census","2011-03","20734",3620
93,"Census","2011-03","20718",3210
93,"Census","2011-03","20719",2854
93,"Census","2011-03","20720",2769
93,"Census","2011-03","20721",4039
93,"Census","2011-03","20722",3193
93,"Census","2011-03","20723",2768
93,"Census","2011-03","20724",3720
93,"Census","2011-03","20725",3177
93,"Census","2011-03","20726",2304
93,"Census","2011-03","20727",4175
93,"Census","2011-03","20728",1960
93,"Census","2011-03","20729",2737
93,"Census","2011-03","20730",2404
93,"Census","2011-03","20731",2723
93,"Census","2011-03","20732",3376
93,"Census","2011-03","20733",3997
93,"Census","2011-03","20734",2966
94,"Census","2011-03","20718",569
94,"Census","2011-03","20719",529
94,"Census","2011-03","20720",402
94,"Census","2011-03","20721",635
94,"Census","2011-03","20722",433
94,"Census","2011-03","20723",360
94,"Census","2011-03","20724",554
94,"Census","2011-03","20725",503
94,"Census","2011-03","20726",268
94,"Census","2011-03","20727",763
94,"Census","2011-03","20728",329
94,"Census","2011-03","20729",313
94,"Census","2011-03","20730",261
94,"Census","2011-03","20731",338
94,"Census","2011-03","20732",653
94,"Census","2011-03","20733",751
94,"Census","2011-03","20734",575
95,"Census","2011-03","20718",33
95,"Census","2011-03","20719",28
95,"Census","2011-03","20720",21
95,"Census","2011-03","20721",62
95,"Census","2011-03","20722",28
95,"Census","2011-03","20723",15
95,"Census","2011-03","20724",55
95,"Census","2011-03","20725",26
95,"Census","2011-03","20726",16
95,"Census","2011-03","20727",33
95,"Census","2011-03","20728",14
95,"Census","2011-03","20729",29
95,"Census","2011-03","20730",21
95,"Census","2011-03","20731",37
95,"Census","2011-03","20732",38
95,"Census","2011-03","20733",75
95,"Census","2011-03","20734",44
96,"Census","2011-03","20718",91
96,"Census","2011-03","20719",119
96,"Census","2011-03","20720",167
96,"Census","2011-03","20721",399
96,"Census","2011-03","20722",160
96,"Census","2011-03","20723",110
96,"Census","2011-03","20724",638
96,"Census","2011-03","20725",124
96,"Census","2011-03","20726",297
96,"Census","2011-03","20727",316
96,"Census","2011-03","20728",456
96,"Census","2011-03","20729",609
96,"Census","2011-03","20730",411
